CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY
C10001,40.900749,0.818182,95.4,55,95.4,3,0.166667,1
C10002,3202.467416,0.909091,3333,55,2,6442.945483,1,1
C10003,2495.148862,1,773.17,773.17,3,3,1,1
C10004,1666.670542,0.636364,1499,1499,2,205.788017,0.083333,0.083333
C10005,817.714335,1,16,16,2,1,0.083333,0.083333
C10006,1809.828751,1,1333.28,2,1333.28,2,0.666667,1
C10007,627.260806,1,7091.01,2,688.38,3,1,1
C10008,1823.652743,1,436.2,5,436.2,4,1,1
C10009,1014.926473,1,861.49,661.49,200,5,0.333333,0.083333
C10010,152.225975,0.545455,1281.6,1281.6,2,6,0.166667,0.166667
C10011,1293.124939,1,920.12,3,920.12,7,1,1
C10012,630.794744,0.818182,1492.18,1492.18,3,8,0.25,0.25
C10013,1516.92862,1,3217.99,2500.23,717.76,9,1,0.25
C10014,921.693369,1,2137.93,419.96,1717.97,10,0.75,0.166667
C10015,2772.772734,1,333,44,3,346.81139,1,1
C10016,6886.213231,1,1611.7,22,1611.7,2301.491267,0.5,1
